"","x"
"1",0.009
"2",0.0110289791011682
"3",0.0131555562478705
"4",0.0153415100690034
"5",0.0175450988557164
"6",0.0197334405929512
"7",0.0218827726041167
"8",0.0239774377689596
"9",0.0260082130282481
"10",0.0279706951785559
"11",0.0298638096205578
"12",0.0316886621275294
"13",0.0334476974934169
"14",0.0351441129412952
"15",0.0367814650423727
"16",0.038363415672897
"17",0.0398935741678558
"18",0.0413754041979536
"19",0.0428121731980531
"20",0.0442069291547093
"21",0.0455624945448928
"22",0.0468814706709569
"23",0.048166247982065
"24",0.049419019543681
"25",0.0506417958591531
"26",0.0518364199332038
"27",0.0530045819146447
"28",0.0541478329449269
"29",0.0552675980239184
"30",0.0563651878203342
"31",0.0574418094253
"32",0.0584985760893309
"33",0.0595365261459659
"34",0.060556599142007
"35",0.0615596762648991
"36",0.0625465750041308
"37",0.0635180548751545
"38",0.0644748225661377
"39",0.0654175365613262
"40",0.0663468112974586
"41",0.0672632209039529
"42",0.0681673025721964
"43",0.0690595595943206
"44",0.0699404641073304
"45",0.070810459574407
"46",0.0716699630315772
"47",0.0725193671247226
"48",0.0733590419590436
"49",0.0741893367805722
"50",0.0750105815070951
"51",0.0758230881238908
"52",0.0766271519579469
"53",0.0774230528428043
"54",0.0782110561848297
"55",0.0789914139405312
"56",0.0797643655134921
"57",0.08053013857857
"58",0.081288949840201
"59",0.0820410057309212
"60",0.0827865030555866
"61",0.0835256295862042
"62",0.0842585646117871
"63",0.0849854794472023
"64",0.0857065379045843
"65",0.0864218967305329
"66",0.087131706012005
"67",0.0878361095535256
"68",0.0885352452280945
"69",0.0892292453039434
"70",0.0899182367490936
"71",0.0906023415154908
"72",0.0912816768043242
"73",0.0919563553140014
"74",0.0926264854721122
"75",0.0932921716526014
"76",0.0939535143792628
"77",0.094610610516573
"78",0.0952635534487937
"79",0.0959124332481961
"80",0.0965573368331892
"81",0.0971983481170676
"82",0.0978355481480387
"83",0.0984690152411354
"84",0.0990988251025705
"85",0.0997250509470467
"86",0.100347809980195
"87",0.100967389761193
"88",0.10158388790611
"89",0.102197372153342
"90",0.102807908149178
"91",0.10341555953439
"92",0.104020388024889
"93",0.104622453488581
"94",0.105221814018583
"95",0.105818526003006
"96",0.106412644191454
"97",0.10700422175843
"98",0.107594083252066
"99",0.108181032415524
"100",0.108765645731605
"101",0.10934797384383
"102",0.109928067581261
"103",0.110505977219122
"104",0.11108175202085
"105",0.111655440021469
"106",0.112227087942225
