"","V1","V2"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",0,0
"55",0,0
"56",0,0
"57",0,0
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",0,0
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",0,0
"91",0,0
"92",0,0
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
"101",0,0
"102",0,0
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",0,0
"115",0,0
"116",0,0
"117",0,0
"118",0,0
"119",0,0
"120",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",0,0
"126",0,0
"127",0,0
"128",0,0
"129",0,0
"130",0.0186915887850467,0.124610591900312
"131",0.0373831775700935,0.249221183800623
"132",0.0560747663551402,0.373831775700935
"133",0.0747663551401869,0.498442367601246
"134",0.0934579439252336,0.623052959501558
"135",0.11214953271028,0.747663551401869
"136",0.130841121495327,0.872274143302181
"137",0.149532710280374,0.996884735202492
"138",0.168224299065421,1.1214953271028
"139",0.186915887850467,1.24610591900312
"140",0.205607476635514,1.37071651090343
"141",0.224299065420561,1.49532710280374
"142",0.242990654205607,1.61993769470405
"143",0.261682242990654,1.74454828660436
"144",0.280373831775701,1.86915887850467
"145",0.299065420560748,1.99376947040498
"146",0.317757009345794,2.1183800623053
"147",0.336448598130841,2.24299065420561
"148",0.355140186915888,2.36760124610592
"149",0.373831775700935,2.49221183800623
"150",0.392523364485981,2.61682242990654
"151",0.411214953271028,2.74143302180685
"152",0.429906542056075,2.86604361370716
"153",0.448598130841121,2.99065420560748
"154",0.467289719626168,3.11526479750779
"155",0.485981308411215,3.2398753894081
"156",0.504672897196262,3.36448598130841
"157",0.523364485981308,3.48909657320872
"158",0.542056074766355,3.61370716510903
"159",0.560747663551402,3.73831775700935
